,Unnamed: 0,dias,fatorec,fatorev,neuronio,interação,acc_train,acc_test,test_acum,dif_acc,sharpe,DD_Max,DD_Mean,DD_std
174,0,1,0.25,0.25,60,500,0.5348299004859987,0.4409722222222222,45.81024871665471,0.09385767826377643,0.8845167624637059,10.358254509288493,2.3488319365972923,2.260784196598489
182,0,1,0.25,0.25,62,300,0.4892386021754224,0.4493055555555556,29.99742912611034,0.0399330466198668,0.5711581824940171,10.504070516900832,3.034864521635074,2.521263992472362
183,0,1,0.25,0.25,62,400,0.5024299930571627,0.4569444444444444,45.97993908794407,0.045485548612718314,0.9748684191255756,9.433055412583073,2.3246130539475214,2.1257118364398746
184,0,1,0.25,0.25,62,500,0.5179356630409627,0.4527777777777778,39.62105010544938,0.06515788526318493,0.938285640209496,8.445413295806803,2.4108340127083547,1.8590937580389373
194,0,1,0.25,0.25,64,500,0.5355241842166165,0.4354166666666667,34.07120795058551,0.10010751754994984,0.561522399215516,12.13529789664143,3.3438457624300484,2.6523582702434743
202,0,1,0.25,0.25,66,300,0.44573015505669983,0.44166666666666665,45.720420830575065,0.0040634883900331755,0.5901161365872981,15.495397599184775,3.830948627004195,4.215119052372567
210,0,1,0.25,0.25,68,100,0.4355473270076371,0.39166666666666666,29.72912249412393,0.043880660340970434,0.7059825048339174,8.422056436403537,1.8131560762494603,1.4943787159564776
211,0,1,0.25,0.25,68,200,0.4906271696366582,0.41875,44.437573367100725,0.07187716963665819,1.1004709696947774,8.076100976916415,1.5634903679698209,1.4822587291913782
212,0,1,0.25,0.25,68,300,0.5188613746817866,0.4319444444444445,51.1900961959579,0.08691693023734215,1.2676933174132523,8.076100976916415,1.6468421793860488,1.4399933780994514
213,0,1,0.25,0.25,68,400,0.5369127516778524,0.4354166666666667,50.180009725165135,0.10149608501118568,1.1514213657262462,8.716185267851905,2.0635086471299884,1.7596266622778685
214,0,1,0.25,0.25,68,500,0.5540384170330942,0.4395833333333333,56.78195165574871,0.11445508369976087,1.2618293963373493,8.99994116804806,2.118764911411025,2.027223516130348
217,0,1,0.25,0.25,69,300,0.4871557509835686,0.41875,29.63738824256065,0.0684057509835686,0.6070074017807147,9.765082981069595,2.9555723055235887,2.1405393132372432
218,0,1,0.25,0.25,69,400,0.5017357093265448,0.4298611111111112,43.0014082718594,0.07187459821543363,1.0710107078871756,8.030061315948922,1.7330862923064094,1.3762119415518037
219,0,1,0.25,0.25,69,500,0.5193242305021986,0.4319444444444445,40.51967414845992,0.0873797860577541,0.9100905308763652,8.904537026539938,1.8381912075676357,1.4832987140077951
231,0,1,0.25,0.25,72,200,0.4709557972691506,0.425,25.18362659251896,0.04595579726915067,0.5608595788041765,8.980367829756474,3.010339589899444,2.129887010580428
232,0,1,0.25,0.25,72,300,0.5119185373756076,0.44027777777777777,39.079889777164496,0.07164075959782977,0.8002506342467763,9.766912540831123,2.51925470477056,2.1580765300431373
233,0,1,0.25,0.25,72,400,0.5376070354084702,0.4409722222222222,39.807105016295054,0.096634813186248,0.8116782086347654,9.808592763196195,2.2969173935514995,2.070162079997468
234,0,1,0.25,0.25,72,500,0.5565841240453598,0.44722222222222224,48.07566591403359,0.1093619018231376,0.945702089609324,10.167190374696958,2.1490814963123666,1.9876736689214445
242,0,1,0.25,0.25,74,300,0.4917843091876881,0.4569444444444444,47.05313094187954,0.03483986474324363,1.1372549885705503,8.274860328556926,2.220404777519458,1.9286670738819385
243,0,1,0.25,0.25,74,400,0.5100671140939598,0.4597222222222222,52.991921496379355,0.05034489187173757,1.519371393030429,6.9755060203793215,2.005290528351624,1.76593525463708
244,0,1,0.25,0.25,74,500,0.5209442258736403,0.4576388888888889,53.52303321185407,0.06330533698475144,1.1938594853321731,8.966387396413252,2.130974605243162,1.9957801494609424
251,0,1,0.25,0.25,76,200,0.4711872251793566,0.4243055555555556,41.484515673428135,0.04688166962380108,0.7109578196520514,11.670035697400724,2.709848374834249,2.379688836091216
252,0,1,0.25,0.25,76,300,0.5225642212450822,0.4430555555555555,46.82652358534049,0.07950866568952664,0.8133285195395551,11.514787065834136,2.4718271305564734,2.389364911569733
253,0,1,0.25,0.25,76,400,0.5385327470492941,0.4423611111111111,39.89763464895717,0.096171635938183,0.7997860196459837,9.977077285401263,2.2950405205173547,2.116951575323291
254,0,1,0.25,0.25,76,500,0.5575098356861837,0.4381944444444445,43.56771694415402,0.11931539124173927,0.8169919394816737,10.665397010353566,2.636381994187321,2.4133960080845265
257,0,1,0.25,0.25,77,300,0.5012728535061328,0.4486111111111111,39.739527208887374,0.052661742395021686,0.9208768066633716,8.63080206197749,2.40071609140058,2.0430048409030697
258,0,1,0.25,0.25,77,400,0.5218699375144642,0.4555555555555556,46.77662771431253,0.06631438195890865,1.1499523399486486,8.135402849200055,2.2018442160383525,1.9310671697884216
259,0,1,0.25,0.25,77,500,0.5322841934737329,0.4541666666666666,55.076612186639395,0.07811752680706624,1.4413369496179247,7.642433950123781,1.8507597042474315,1.673053424554384
260,0,1,0.25,0.25,78,100,0.4471187225179357,0.41875,35.82053943258379,0.02836872251793565,0.7329330478863822,9.774573417280708,2.9841620192017664,2.067453763807384
269,0,1,0.25,0.25,79,500,0.4709557972691506,0.4479166666666667,27.740794656027056,0.02303913060248397,0.7062932840851748,7.855318826076133,2.6558954327465183,1.9416524463206368
272,0,1,0.25,0.25,80,300,0.4735015042814164,0.4340277777777778,44.66645331140398,0.03947372650363856,0.5200440212268564,17.17795089962945,3.72788574889608,3.9109295574282066
273,0,1,0.25,0.25,80,400,0.4890071742652164,0.4381944444444445,45.161311824961956,0.05081272982077195,0.5599154339109457,16.131475965759805,3.348053379706516,4.0511687460302905
274,0,1,0.25,0.25,80,500,0.5031242767877806,0.4423611111111111,48.48786195897728,0.06076316567666951,0.6188581067912351,15.670106419187341,3.2963532861555085,3.8886974968758565
281,0,1,0.25,0.25,82,200,0.5024299930571627,0.4340277777777778,43.266990154040776,0.06840221527938495,1.0795638023929888,8.01564299546429,2.3468738847438666,2.0655035843757497
282,0,1,0.25,0.25,82,300,0.5278870631798195,0.4465277777777778,60.94231486033204,0.08135928540204168,1.147481084439156,10.621929317487314,2.3726588361285827,2.2815326612338014
283,0,1,0.25,0.25,82,400,0.5512612821106225,0.4534722222222222,64.58338450951881,0.09778905988840032,1.6065295447409678,8.040111645744062,2.144812818551833,1.9822852585816104
284,0,1,0.25,0.25,82,500,0.5679240916454524,0.4527777777777778,64.18993834579186,0.11514631386767465,1.457573225552156,8.807782308360599,2.3519885781378846,2.2128396166829263
302,0,1,0.25,0.25,86,300,0.4753529275630641,0.4430555555555555,43.275255443190844,0.0322973720075086,1.054090930525665,8.210915052956556,2.2617416625595426,1.9272707917990808
307,0,1,0.25,0.25,87,300,0.4903957417264522,0.4493055555555556,45.218670040076255,0.041090186170896666,0.8196293812352302,11.033930963267577,2.7741783994460376,2.605428011115019
308,0,1,0.25,0.25,87,400,0.5065956954408701,0.4493055555555556,42.390027164704684,0.05729013988531456,0.8001725499837126,10.59522153454715,3.102582927388617,2.76080982555824
309,0,1,0.25,0.25,87,500,0.5202499421430224,0.4527777777777778,50.858136911100324,0.06747216436524467,1.2350150881251103,8.236034911655793,2.371626190520164,2.0268693171822734
318,0,1,0.25,0.25,89,400,0.5505669983800047,0.4423611111111111,45.2307112212276,0.10820588726889356,0.7559768860475289,11.966162472957912,3.408171861684456,2.917789477130489
319,0,1,0.25,0.25,89,500,0.5621383938903032,0.44375,47.50995047146629,0.1183883938903032,0.8700360432916141,10.921375232162001,2.856945029133789,2.5040279569568584
327,0,1,0.25,0.25,91,300,0.4954871557509836,0.4340277777777778,31.956783884428827,0.061459377973205775,0.7495318091333542,8.527132136360922,2.334184643507728,1.9123069381188005
328,0,1,0.25,0.25,91,400,0.5098356861837537,0.44166666666666665,41.18827942331267,0.06816901951708709,1.2691514673761315,6.490679872665808,1.6778948336589037,1.4764307294270989
329,0,1,0.25,0.25,91,500,0.5200185142328165,0.44166666666666665,45.427948282797956,0.07835184756614988,1.3576913988188302,6.691940204131741,1.7744201490268343,1.4470636937657495
330,0,1,0.25,0.25,92,100,0.4630872483221477,0.44166666666666665,33.61814316824546,0.021420581655481,0.5172744536752094,12.998184205460069,3.837946183353902,3.0537215416242627
